source_file;entrypoint_from_main;depth;function;function_camel_case;called_by;path_from_main
src/imageCompositeConverter.py;main;3;_semanticTransferBadgeParams;_semanticTransferBadgeParams;_tryTemplateTransfer;main > convertRange > _tryTemplateTransfer > _semanticTransferBadgeParams
src/imageCompositeConverter.py;main;3;_templateTransferTransformCandidates;_templateTransferTransformCandidates;_tryTemplateTransfer;main > convertRange > _tryTemplateTransfer > _templateTransferTransformCandidates
src/imageCompositeConverter.py;main;4;_templateTransferScaleCandidates;_templateTransferScaleCandidates;_templateTransferTransformCandidates;main > convertRange > _tryTemplateTransfer > _templateTransferTransformCandidates > _templateTransferScaleCandidates
src/imageCompositeConverter.py;main;3;_buildTransformedSvgFromTemplate;_buildTransformedSvgFromTemplate;_tryTemplateTransfer;main > convertRange > _tryTemplateTransfer > _buildTransformedSvgFromTemplate
src/imageCompositeConverter.py;main;4;_extractSvgInner;_extractSvgInner;_buildTransformedSvgFromTemplate;main > convertRange > _tryTemplateTransfer > _buildTransformedSvgFromTemplate > _extractSvgInner
src/imageCompositeConverter.py;main;2;_computeSuccessfulConversionsErrorThreshold;_computeSuccessfulConversionsErrorThreshold;convertRange;main > convertRange > _computeSuccessfulConversionsErrorThreshold
src/imageCompositeConverter.py;main;2;_loadQualityConfig;_loadQualityConfig;convertRange;main > convertRange > _loadQualityConfig
src/imageCompositeConverter.py;main;3;_qualityConfigPath;_qualityConfigPath;_loadQualityConfig;main > convertRange > _loadQualityConfig > _qualityConfigPath
src/imageCompositeConverter.py;main;2;_writeQualityConfig;_writeQualityConfig;convertRange;main > convertRange > _writeQualityConfig
src/imageCompositeConverter.py;main;3;_qualityConfigPath;_qualityConfigPath;_writeQualityConfig;main > convertRange > _writeQualityConfig > _qualityConfigPath
src/imageCompositeConverter.py;main;2;_selectOpenQualityCases;_selectOpenQualityCases;convertRange;main > convertRange > _selectOpenQualityCases
src/imageCompositeConverter.py;main;2;_selectMiddleLowerTercile;_selectMiddleLowerTercile;convertRange;main > convertRange > _selectMiddleLowerTercile
src/imageCompositeConverter.py;main;2;_iterationStrategyForPass;_iterationStrategyForPass;convertRange;main > convertRange > _iterationStrategyForPass
src/imageCompositeConverter.py;main;2;_adaptiveIterationBudgetForQualityRow;_adaptiveIterationBudgetForQualityRow;convertRange;main > convertRange > _adaptiveIterationBudgetForQualityRow
src/imageCompositeConverter.py;main;2;_evaluateQualityPassCandidate;_evaluateQualityPassCandidate;convertRange;main > convertRange > _evaluateQualityPassCandidate
